Title,Learning Hours,Activity Description,Benefit to Practice,Benefit to Users
Personal mathematics tutoring,3.0,"For 6 weeks, I privately tutored two students, one GCSE student and one A-Level student. ","Revisiting the material for GCSE and A-Level was a great way for me to re-connect with basic mathematical principles.
Having to explain these concepts to teenagers, helped me rethink the way that I communicate, using many examples.

Also, having to structure the lessons and set homework encouraged me to reflect on planning.

",Being able to succinctly explain mathematical concepts to lay-people will greatly improve my ability to engage with clients.
Psychology Summit,6.0,"Work summit in London, introducing me to the company, how our department works and reviewing our plans for writing papers in 2018.","This session was invaluable to introduce me to the science department of Arctic Shores. I learnt about how the department operates, what their outputs are and who does what. We discussed which journals and conferences are key in psychology, and the role of the British Psychological Society. ",Having a good understanding of how my department works is essential to quickly providing good quality analysis for our clients. Targetting the correct conferences with papers provides our clients with confidence that our tools have a strong scientific basis. 
PyData Lancaster,0.0,"- Seizure Detection with Machine Learning - David Elliott

David is an Associate Lecturer and PhD student in the Lancaster University Psychology department. He will give an overview of optimization and classical machine learning techniques that he has used to develop algorithms able to detect seizures in NHS diagnostic records.

- Natural Language Processing: An Overview - Ryan Callihan

Ryan is a Computational Linguist and Data Scientist at Relative Insight. He will be giving an introductory talk on Natural Language Processing (NLP), outlining: What it is, What the current state of it is, and Where it is going.",ASDF123,ASDF123
PyData Lancaster February,0.0,">>> James Walkerdine - COO and Co-Founder of Relative Insight and Baker of Cakes

I will be sharing how we started a language analytics and data science company here in Lancaster with little knowledge about either (at the time!) and how it has changed and grown into a sustainable business.

************************

>>> Rhian Davies - Data Scientist at Jumping Rivers and R Wizard

Can you trust your code?
Are you forgetful and lazy like me, but still want to write fabulous, dependable code? Enter Travis, a helpful service which can automatically run checks, tests and even tweet about your fabulous code.
I'll explain what continuous integration is and tell stories of how we use it at Jumping Rivers. I'll also introduce inteRgrate, an R package we've developed to help us keep our packages running smoothly.",ASDF123,ASDF123
R Ladies Lancaster: Dates and times with lubridate,1.0,"This is a beginner friendly session. We'll be working through Chapter 16 of the R for Data Science book, which deals with manipulating dates and times. This is available freely online at http://r4ds.had.co.nz . There will be a short presentation and then we'll work through some exercises together.

Afterwards, we will try these out on our own data. So please, if you can, bring along some of your own data. You could be working on this data at the moment, or it could be something you have used in the past. If you don't have any data, this would be a good learning opportunity to try and find some open source data from the internet.","As a professional female programmer, I believe it's important to give back to the community. 

By running these sessions, I have to design educational content at a suitable level. I also have to organise the sessions, and advertise them.  

R-Ladies is also a great place to connect with like minded professionals and discuss issues and finding in the R community. It's a great networking opportunity for me.

I also learn lots each session, this could be a new R package that I haven't heard of, or simply a better way to explain a problem to an attendee.","By delivering workshops to the community and supporting new learners, my clients can see that:

1) Open-source development is important to me
2) I'm a skilled educator
3) I'm a supportive listener

It might be important to clients that I support STEM education programmes for women.

This also demonstrates to clients that I am a key member in the R North West community.
"
R-Ladies,1.0,"Using a real-life data set R-Ladies Manchester is hosting a workshop evening that will allow members to learn, and develop, skills and tricks for approaching a new data analysis project. We will split into groups, preferably with each group having a mix of backgrounds and R experience, to give the opportunity of peer learning and support. We envision that the workshop will include:

• Using branches in Github to work on different versions of the project
• Importing data into R
• Data analysis and visualisations in R
• Finding interesting insights from the data which we could present at the Manchester R group.","The introduction to using branches in GitHub was very insightful. I also taught some data analysis techniques to other attendees. 

","Using GitHub is an excellent way to ensure that our service is well documented, uses version control and is reproducible."
R-Ladies,0.5,"Book club: Data Imports & Tibbles

We're starting a new bookclub series where we will work through some chapters from the wonderful ""R for Data Science"" (http://r4ds.had.co.nz/). In this first session we will cover topics on Importing Data and working with Tibbles (chapters 7 & 8).

If you are completely new to R and would like a hand setting up R on your laptop come chat to us at the beginning of the session and we can help you out.

We hope these sessions will be a great introduction and development sessions for those of you who are new to R.

For those more experienced R users we will look to provide some challenges related to the topics or you can help mentor others.

Many thanks to Peak for offering us a space to use for this event. If you can offer us a space for future events please get in touch.","This bookclub included an excellent comparison of data.frames() and tibbles().
These extra tips will help improve my R coding. ",Staying up-to-date with R coding practice is essential to good development. 
R-Ladies Lancaster,1.0,"Details
R-Ladies Lancaster is ready to announce our first event!

Our launch event will include a number of talks about R, and there will also be plenty of time for networking over pizza! (Big thank you to H20.ai for sponsoring the pizza at our launch event).

Schedule:

18:00 - 18:20: Registration
18:20 - 18:30: Introduction to R-Ladies and the local groups
18:30 - 18:50: Nic Crane: Ten Steps to Becoming a Tidyverse Contributor
18:50 - 19:20: Pizza break/networking
19:20 - 19:40: Rhian Davies: A day in the life with R. A whirlwind tour.
19:40 - 20:00: Lucy Morgan: The rocky road to building my first R package
20:00 - 20:30 Networking/close

Nic Crane (Elucidata): 10 Steps to Becoming a Tidyverse Contributor
In 2018 I became a contributor to the tidyverse and realised that you don't have to be an R expert to get involved. In this talk, I will discuss why I was originally hesitant to contribute to open source, but how the R community made me realise my doubts were unfounded. I'll walk you through the stages of making a pull request to a tidyverse package and discuss my experiences of doing so. Whilst the focus of this talk is on contributing code, I conclude with the other valuable ways you can get involved, whether you've been using R for 2 weeks or 20 years. I'd love to make this talk interactive, so please bring any questions you have!

Rhian Davies (Jumping Rivers): A day in the life with R.
I've been using R for many years and at the moment it feels like I basically run my life in the medium of R. I'll give an whirlwind tour of a day in my life as an analyst and all the weird and wonderful ways R helps - and hinders.

Lucy Morgan (Lancaster University): The rocky road to building my first R package
I heard that putting an R package together was simple once you had functions that worked. I must have heard wrong. In this talk I’ll discuss a few of the difficulties I had in starting to build my first R package (you can then avoid these). I’ll also add a few tips from the package building process and demonstrate building a very simple package in R.
","As a professional female programmer, I believe it's important to give back to the community.

By running these sessions, I have to design educational content at a suitable level. I also have to organise the sessions, and advertise them.

R-Ladies is also a great place to connect with like minded professionals and discuss issues and finding in the R community. It's a great networking opportunity for me.

I also learn lots each session, this could be a new R package that I haven't heard of, or simply a better way to explain a problem to an attendee.","By delivering workshops to the community and supporting new learners, my clients can see that:

1) Open-source development is important to me
2) I'm a skilled educator
3) I'm a supportive listener

It might be important to clients that I support STEM education programmes for women.

This also demonstrates to clients that I am a key member in the R North West community."
R-Ladies Lancaster: ggplot2,1.0,"This will a beginner friendly session where we will learn how to create plots with the ggplot2 package. Even if you've never used R before, you'll be able to take part and do some coding.

We'll be working through Chapter 3 of the R for Data Science book. This is available freely online at http://r4ds.had.co.nz . There will be a short presentation and then we'll work through some exercises together.

If you're already familiar and comfortable with manipulating data in R, please still come along. It would be great to have some extra helpers, and we can also work through the latest TidyTuesday data set as a challenge.

This will be an interactive session so please bring your laptop. Ideally this should have R and RStudio installed. If you have trouble downloading these, you can use https://rstudio.cloud/. You will also need the tidyverse R package. You might want to install this before coming along to the session. You can do this by running install.packages(""tidyverse"") in R.","As a professional female programmer, I believe it's important to give back to the community.

By running these sessions, I have to design educational content at a suitable level. I also have to organise the sessions, and advertise them.

R-Ladies is also a great place to connect with like minded professionals and discuss issues and finding in the R community. It's a great networking opportunity for me.

I also learn lots each session, this could be a new R package that I haven't heard of, or simply a better way to explain a problem to an attendee.","By delivering workshops to the community and supporting new learners, my clients can see that:

1) Open-source development is important to me
2) I'm a skilled educator
3) I'm a supportive listener

It might be important to clients that I support STEM education programmes for women.

This also demonstrates to clients that I am a key member in the R North West community."
R-Ladies Lancaster: Introduction to Shiny,0.0,"Shiny is an R package that makes it easy to build interactive web apps straight from R. In this beginner-friendly session, we'll be working through part one of the RStudio shiny tutorial.

https://shiny.rstudio.com/tutorial/

This will be an interactive session so please bring your laptop. Ideally, this should have R and RStudio installed. If you have trouble downloading these, you can use https://rstudio.cloud/. You will also need the shiny R package. Please, install this before coming along to the session. You can do this by running install.packages(""shiny"") in R.",ASDF123,ASDF123
R-Ladies Lancaster: R Markdown,1.0,"I co-lead the R-Ladies meet up:

Rebecca Killick: Why I love R Markdown
Rhian Davies: Stories from San Francisco.

I assisted Rebecca with the workshop aspect of her talk, and then I presented my own talk on the RStudio conference.","As a professional female programmer, I believe it's important to give back to the community. 

By running these sessions, I have to design educational content at a suitable level. I also have to organise the sessions, and advertise them.  

R-Ladies is also a great place to connect with like minded professionals and discuss issues and finding in the R community. It's a great networking opportunity for me.

I also learn lots each session, this could be a new R package that I haven't heard of, or simply a better way to explain a problem to an attendee.","By delivering workshops to the community and supporting new learners, my clients can see that:

1) Open-source development is important to me
2) I'm a skilled educator
3) I'm a supportive listener

It might be important to clients that I support STEM education programmes for women.

This also demonstrates to clients that I am a key member in the R North West community.

"
R-Ladies Lancaster: stringr & regex,1.0,,"As a professional female programmer, I believe it's important to give back to the community.

By running these sessions, I have to design educational content at a suitable level. I also have to organise the sessions, and advertise them.

R-Ladies is also a great place to connect with like minded professionals and discuss issues and finding in the R community. It's a great networking opportunity for me.

I also learn lots each session, this could be a new R package that I haven't heard of, or simply a better way to explain a problem to an attendee.","By delivering workshops to the community and supporting new learners, my clients can see that:

1) Open-source development is important to me
2) I'm a skilled educator
3) I'm a supportive listener

It might be important to clients that I support STEM education programmes for women.

This also demonstrates to clients that I am a key member in the R North West community.
"
R4DS tutoring,1.0,"I volunteered to tutor online for 2 hours as an ""R expert""","The tutoring session involved me re-visiting the Tidyverse. Explaining these concepts to a beginner helped my improve my communication and tutoring skills. Explaining programming concepts over a messaging service can be challenging, and practising this allowed me to trial new techniques.","Improved communication, especially relating to coding and programming is vital for  delivering an understandable service."
Rail Supplier Engagement Event ,2.0,"The Centre for Innovation in Rail at the University of Huddersfield offers a unique collaboration between world-class rail academics and industry professionals to provide access to leading-edge research and development expertise. We are constantly working with a number of key industry partners such as Unipart Rail, whilst forming new relationships with innovative SMEs and other solutions providers to offer:

specialist technology and business services
product testing and development
funding opportunities
routes to market for new and developed concepts
We would like to introduce SMEs to the benefits of working with the University and our industry partners; we are therefore holding a supplier engagement event, open to SMEs of all sizes and disciplines on the 27th November 2018, during which delegates can meet with colleagues from the University as well as Network Rail, Unipart Rail and the Rail Alliance. The event will provide an opportunity to:

learn how you can work with the University to support your business needs;
discover the opportunities offered by the rail sector locally, nationally and internationally;
hear from Network Rail on their current challenges, R&D plans and what they are seeking to overcome in partnership with suppliers;
Hear from and talk to Unipart Rail; understand how they can help get your product to market;
learn of the ways in which you can receive support and guidance from the Rail Alliance;","Martin Little from the Rail Alliance gave a thorough introduction to the rail industry. He explained TOCS, ROCS and government agencies. 
He also gave 15 tips for getting started working in the rail industry. 

This overview really helped me understand how the many different rail companies interact.","A detailed understanding of the interaction between companies is vital to ensuring that we are bae

I also spoke to Rail Alliance about how we can get testing vouchers to test our products. By testing our products on a real train we can improve the quality."
Reading: Elements of Statistical Learning,4.0,"https://web.stanford.edu/~hastie/Papers/ESLII.pdf

Working through the following chapters:
3: Linear Methods for Regression
14: Unsupervised Learning
15: Random Forests","As a statistician, it is important to understand the mathematics behind techniques such as linear regression, unsupervised learning and random forests. I focussed on these chapters are they are the most important to my current work with Arctic Shores, however, I would like to work through the entire book at some point.",Having a good understanding of these modelling techniques allows me to develop models for clients whilst being aware of possible pitfalls and biases. 
Reading: R4DS,4.0,"Working through the R4DS book in Autumn 2017. 
https://r4ds.had.co.nz/

 This book will teach you how to do data science with R: You’ll learn how to get your data into R, get it into the most useful structure, transform it, visualise it and model it. In this book, you will find a practicum of skills for data science. Just as a chemist learns how to clean test tubes and stock a lab, you’ll learn how to clean data and draw plots—and many other things besides. These are the skills that allow data science to happen, and here you will find the best practices for doing each of these things with R. You’ll learn how to use the grammar of graphics, literate programming, and reproducible research to save time. You’ll also learn how to manage cognitive resources to facilitate discoveries when wrangling, visualising and exploring data.

","This book is the gold standard for data science in R. Working through the book taught me new skills, particularly in visualising data using ggplot.

","Having strong R skills are essential for both analysing client data, but also visualising their data in a clear, intuitive way."
Reading: Reproducible Research,2.0,"I worked through the excellent tutorial by Karl Broman on Reproducible Research.

https://kbroman.org/steps2rr/",I aim to use a workflow which meets the gold standard for reproducibility. This guide gave me some great tips and ideas. ,"By providing a reproducible workflow, it increases the reliability of the results provided. Also, if the data changes it allows a quick re-analysis. "
Research Data: The Best Laid Plans…,0.0,"In this Data Conversations we will talk about developing research projects. How do we go about preparing for data collection or creation? How do we identify and use existing suitable datasets? How do we develop interdisciplinary projects with partners who may be at Lancaster University or elsewhere? How do we ensure that our data is well managed through the whole lifecycle and leveraged to its full potential?

Come and share your research data stories and hear others. We’d like to hear form:

People who’ve developed a data driven research project
People’s experiences around data collection and creation
People’s experiences of locating or using existing datasets
People’s experience of developing collaborative projects
People who planned the organisation, storage, sharing and archival of their data from the outset - and people who wished that they had...",ASDF123,ASDF123
RLadies Lancaster: Dplyr,1.0,"This will a beginner friendly session where we will learn how to access and transform data. Even if you've never used R before, you'll be able to take part and do some coding.

We'll be working through Chapter 5 of the R for Data Science book. This is available freely online at http://r4ds.had.co.nz . There will be a short presentation and then we'll work through some exercises together.

If you're already familiar and comfortable with manipulating data in R, please still come along. It would be great to have some extra helpers, and we can also work through the latest TidyTuesday data set as a challenge.

This will be an interactive session so please bring your laptop. Ideally this should have R and Rstudio installed. If you have trouble downloading these. You can use https://rstudio.cloud/. You will also need to tidyverse R package. You might want to install this before coming along to the session. You can do this by running install.packages(""tidyverse"") in R.","As a professional female programmer, I believe it's important to give back to the community.

By running these sessions, I have to design educational content at a suitable level. I also have to organise the sessions, and advertise them.

R-Ladies is also a great place to connect with like minded professionals and discuss issues and finding in the R community. It's a great networking opportunity for me.

I also learn lots each session, this could be a new R package that I haven't heard of, or simply a better way to explain a problem to an attendee.","By delivering workshops to the community and supporting new learners, my clients can see that:

1) Open-source development is important to me
2) I'm a skilled educator
3) I'm a supportive listener

It might be important to clients that I support STEM education programmes for women.

This also demonstrates to clients that I am a key member in the R North West community."
RSS Conference 2019,0.0,"PD6 Prof Dev Stats the way to write it
Robert Grant, TImandra Harkness, Rob Mastrodomenico, Rob Calver

Communicating & Teaching Statistics (Show me the stats)

Look at graphs: Allan Reese
Say one thing: numbers in the news (Robert Cuffe)

Show me the question (Andrew Wright)

Significance In Conversation, Fighting fake news and false facts with evidence and statistical thinking
James Ball, Peter Cunliffe, Timandra Harkness",ASDF123,ASDF123
RSS CPD training webcast,0.5,"Worked through CPD training on RSS website

https://www.youtube.com/watch?v=roVi9l3MKt0&feature=youtu.be","Although I have already attended an RSS CPD course, I found it very useful to revisit this webcast. This time I focussed more on the planning and general development rather than the actual activities. ",Since working through this I have decided to make a development plan in order to ensure that my CPD matched the skills that I need to develop.
RSS Lancashire Chair,1.0,"For 2019, I am the chair of the RSS Lancashire Local Group. 
This involved organising talks, marketing the talks and chairing meetings

","Running the RSS local committee involves:

* Organising events
* Chairing meetings
* Engaging with the local statistics community

All these things improve my organisational skills and broaden my professional network.","Volunteering on the local group committee showcases to my clients that I am an active member of the statistical community (especially in the North West).

It also demonstrates my ability to be responsible and have good organisation skills. 
It's an elected position.

"
RSS Lancashire Talk: Claire Miller ,0.0,ASDF123,ASDF123,ASDF123
RSS Lancashire Talk: David Spiegelhalter,1.0,"David Spiegelhalter - Trust in Numbers

Those who value quantitative and scientific evidence are faced with claims both of a reproducibility crisis in scientific publication, and of a post-truth society abounding in fake news and alternative facts.  Both issues are of vital importance to statisticians, and both are deeply concerned with trust in expertise.  By considering the ‘pipelines’ through which scientific and political evidence is propagated, I will consider possible ways of improving both the trustworthiness of the statistical evidence being communicated, and the ability of audiences to assess the quality and reliability of what they are being told.
","David's talk presented a number of excellent examples which I can use in my role as an RSS Statistical ambassador. The pipelines that he discussed has encouraged me to take responsibility for the way that my research is communicated. I will do this by ensuring that all press releases are accompanied by more public-friendly versions, there by helping University press offices do there work. ","In my role as statistical ambassador for the RSS, David has provided me with many excellent examples which I can share when educating members of the public."
RSS Lancashire Talk: Davide Pigoli,0.5,"The statistical analysis of acoustic phonetic data: exploring differences between spoken Romance languages

Exploring phonetic changes between languages is relevant to understand their history and geographical spread. While many studies have considered differences in textual form or in phonetic transcription, it is somewhat more difficult to analyse speech recordings in this manner, although this is usually the dominant mode of transmission of language changes. Here, we propose a novel approach to explore phonetic changes, using log-spectrograms of speech recordings. After pre-processing the data to remove inherent individual differences, we identify time and frequency covariance functions as a feature of the language; in contrast, the mean depends mostly on the word that has been uttered. We use these means and covariances to postulate paths between languages, and we illustrate some preliminary results obtained when the model is applied to recordings of speakers of selected Romance languages. This is part of a joint work with P.Z. Hadjipantelis, J.S. Coleman and J.A.D. Aston.","It was interesting to learn how it is possible to analyse acoustical data using Fourier analysis. In particular, separating word differences and language difference.",Expanding the types of data that we are able to analysis broadens the services that we are able to provide 
RSS Lancashire Talk: Peter Van der Heijden,0.5,"An overview of population size estimation where linking registers results in incomplete covariates, with an application to mode of transport of serious road casualties.

","Peter's talk introduced me to a new challenge in population estimation, and how linking multiple resisters and using the Expectation Maximisation algorithm can be used to solve this. These methods are applied to hard-to-reach populations. Applications include victims of human trafficking, the homeless, domestic violence, illegal immigrants etc.

It was interesting to think about this problem from a modelling perspective.

","If users of my service came to me with a population estimations problem for a hard-to-reach population, e.g shelter estimating homelessness - I'd know what research to consider, and how to decide if the model was appropriate."
RSS Lancashire: Machine Learning in Astronomy,0.0,ASDF123,ASDF123,ASDF123
RSS PSF Route to Chartered CStat,2.5,"I learnt how to track my CPD, what sort of activities are applicable, and how more about the pathway to CStat.

Support provided along the pathway (including the GradStat mentoring scheme and mid-term review).Continuing Professional Development (CPD) – what’s expected in terms of doing and recording CPD
","I learnt how to track my CPD, what sort of activities are applicable, and how more about the pathway to CStat. 

I began to re-think how I present myself as a professional statistician, and the guidelines to follow as a Fellow of the Royal Statistical Soceity","CPD is vital to provide a professional, up-to-date, service to clients."
RSS PSF: Effective Communication,0.5,"The career value of effective communication skills: Case studies from the RSS statistical ambassadors programme - watch video (YouTube)
Speakers: Robert Cuffe (BBC News), Liberty Vittert (University of Glasgow), David Beckett (Office for National Statistics)
The RSS statistical ambassadors programme is helping early-career professional statisticians to respond to requests from event organisers and the media, but what is it all about? With a call out to the membership to apply for the next cohort of statistical ambassadors this webinar will show what the programme is about from the perspective of three ambassadors. The aim of their presentations will be to discuss how the programme has been beneficial to their careers and how communication is a very important aspect of everyone’s careers.",These talks gave some excellent examples of how best to communicate statistical concepts. ,Communicating is a vital part of providing a full service.
RSS PSF: Excellence in Official Statistics,0.5,"Excellence in Official Statistics – engagement, insight and building trust - Webcast (Youtube)
Speakers: Alastair McAlpine (download slides), Scottish Government; Laura Watson-Heard (download slides), Department for Work and Pensions; Ian Polanowski (download slides), Health and Safety Executive; Rob Green (download slides), Ministry of Housing, Communities and Local Government
The RSS Official Statistics Awards, jointly awarded by the RSS and by the UK Statistics Authority, recognise and celebrate developments in Official Statistics. In this meeting you will hear from the winners and those short-listed for the 2017 Awards. They will talk about the motivation for the work, how it was done, the key outcomes and how things have developed since. In particular:

The Scottish Government, winners of the Award, with the Scottish Index of Multiple Deprivation (SIMD16). This was commended for excellent processes to develop understanding of user needs, communication of findings to decision makers, clever use of case studies and user engagement to build public trust, and clear advice on what the SIMD can and cannot be used for.
The Department for Work and Pensions on the presentation of the Work, Health and Disability Green Paper Data Pack and on work to strategically bring together the outputs to improve public accessibility and user engagement.
The Health and Safety Executive on its work on user-focus and accessibility of Health and Safety Statistics for Great Britain 2015/16.
The Ministry of Housing, Communities and Local Government on innovations and improving ease of use of its Live Performance Dashboard.",Introduced a couple of new visualisation ideas that I hadn't seen before. ,New visualisation techniques can allow us to communicate our findings to clients.
RSS Stats Ambassador: Panorama,2.0,"Assisted Stephen Walsh, Assistant Producer for Blakeway creating a Panorama programme ""Plane Drunk""","Liaising with Stephen, understanding his question and explaining the consequences can to him helped develop my communication skills. 

Working with a TV company gave me the experience of working to a tight deadline. ",Developing my communication and time keeping skills are keep points of providing a good service in statistical consultancy.
RSS Stats Ambassador: Stat of the Year,2.0,Assisted the RSS in checking their statistics for Stat of the Year 2018.,"This activity allowed me to develop my fact-checking skills, quickly looking for potential errors or pitfalls in the statistics presented.

Due to time constraints, this also forced me to practise working efficient and develop my time-keeping skills. 
",Having a keen eye for possible errors or biases in data is an important skill for ensuring that the analysis and statistics that you have developed are a fair representation of the data. It was great to practice ensuring that the answer provided actually answers the original question!  This is another vital service when providing consultancy for clients.
RSS Video: Data Science and Statistics: different worlds?,1.0,"Chris Wiggins (Chief Data Scientist, New York Times)
David Hand (Emeritus Professor of Mathematics, Imperial College)
Francine Bennett (Founder, Mastodon-C)
Patrick Wolfe (Professor of Statistics, UCL / Executive Director, UCL Big Data Institute)
Zoubin Ghahramani (Professor of Machine Learning, University of Cambridge)
Chair: Martin Goodson (Vice-President Data Science, Skimlinks)
Discussant: John Pullinger (UK National Statistician)

In the last few years, data science has become an increasingly popular discipline. Often linked to the use and analysis of ‘big data’, data scientists are seen as the new professionals who can unlock the potential of an increasingly data-rich world, and generate economic and social benefits from the data revolution.

However within the world of statistics, the ‘big data’ and ‘data scientist’ developments are sometimes labelled as hypes, and ‘data science’ is seen as a rebranding of what should be statistics. One of the often heard criticisms of big data analytics is that there’s a lack of statistical rigour which can lead to the wrong decisions.

As with any new discipline, there are questions about exactly what data science is. Has the relevance of statistics been diminished because of new types of data or technologies which need a radical new approach? Is data science about ‘getting the job done’, and statistics about the deeper scientific understanding? Are our universities offering students the right skill sets to meet the high demand for data scientists?

https://www.youtube.com/watch?v=C1zMUjHOLr4","I really enjoyed this discussion. Often, people ask me if I identify as a statistician or a data scientist, and what the difference is between the two. These talks helped to clarify my thoughts and provided interesting angles on the discussion. It got me thinking about the similarities and differences between the disciplines. It also encouraged me to reflect on the skills I have as someone who sits in the middle of statistics and data science.","The personal reflection helped me identify the strengths that I have due to my abilities in the intersection statistics and data science, and skills which may need development. Targetting these skills will ensure I provide a good service to users of my service."
RSSB Forecasting Workshop,5.0,"10:15 Welcome and Introductions
Neil Ovenden, Engineering Supply Chain Lead at Rail Delivery Group and Chair of the Adhesion Research Group (ARG) Watch Recording

10:30 The Adhesion Problem
An overview of the operational problems caused by poor adhesion - John Edgley, Chair of the Adhesion Working Group (AWG)
How adhesion impacts train operators - Rob Cummings, Programme Delivery Manager – Seasonal Preparedness, Northern Rail

11:00 Adhesion Forecasting
A look at how the Met Office approaches adhesion forecasting - Dr Victoria Chapman, Scientific Manager, Met Office
New developments in adhesion forecasting on the tube - Priyank Patel, Senior Engineer, Transport for London

11:45 Forecasting in other sectors
The approach that MetDesk takes to weather-related forecasting across multiple sectors - Dr Daniel Adamson, Head of Meteorological R&D, MetDesk Weather Services
A broader look at how the Met Office provides wider weather forecasting services – Dr Elizabeth Brock, Scientific Consultant, Met Office

12:15 Q + A Panel
All the morning’s speakers

13:45 Workshop – forecasting adhesion solution requirements
Workshop introduction
Workshop Session 1
Workshop Session 2

15:15 Funding and next steps
Competition details, including specifics regarding funding, judging criteria, etc. - Luisa Moisio, R&D Programme Director, RSSB","This session involved a lot of domain-specific knowledge. I left the event feeling like I had a much greater understanding of the rail sector and the many different players. The session on the MetDesk showcased a great way to provide domain-specific predictions in the rail sector. I learnt a great deal about the adhesion problem, and the RSSB funding available. ","This event informed me on how we can best submit a funding call to forecast poor adhesion, If funded, we will be able to deliver a new product for our users, increasing safety and decreasing train delays during the difficult Autumn season. "
RStudio Conf 2020,0.0,ASDF123,ASDF123,ASDF123
RStudio Online training,0.0,"So here you are: you planned to teach your class or deliver your workshop in person, and now you have to do it online or not at all. Nobody is giving you time or money to make the change, and a hundred other things also need your attention. Where should you start, and what should you aim for?

https://education.rstudio.com/blog/2020/03/teaching-online-on-short-notice/",a,a
RStudio Sys Admin training,0.0,Link to modules,ASDF123,ASDF123
RStudio teaching exchange,0.0,"Focussing on R Markdown.

Talk from Alison Hill",ASDF123,ASDF123
RStudio Tech exchange,0.0,"Discussing recent developments in tech. 

Pins
Install from binary",ASDF123,ASDF123
RStudio technical exchange,0.0,ASDF123,ASDF123,ASDF123
RStudio Trainer Meeting,0.0,ASDF123,ASDF123,ASDF123
RStudio Training,0.0,ASDF123,ASDF123,ASDF123
RStudio Training,0.0,ASDF123,ASDF123,ASDF123
SatRday Cardiff,0.0,"IDMODELR: AN R PACKAGE CONTAINING A LIBRARY OF INFECTIOUS DISEASE MODELS AND UTILITIES
Sam Abbott

ON DEBUGGING SHINY APPLICATIONS
Dominik Krzemiński

FROM UGLY TO FUNKY: HOW I LEARNED R JUST TO MAKE MY GRAPHS LOOK GOOD
Anne Koopman

DATA WRANGLING WITH #RDATATABLE PACKAGE
Arun Srinivasan

HOW MUCH IS THAT DOGGIE IN THE WINDOW? WEB SCRAPING PUPPY ADS WITH RVEST
Jamie Ralph

EXPLORING PATHWAYS, GENES AND GENE LISTS IN BIG BIOLOGICAL DATASETS
Alex Greenshields-Watson

CAN YOU TRUST YOUR R PACKAGE?
Rhian Davies

IMPOSTORS ANONYMOUS: A GUIDE TO BELONGING
Chris Jackson

WHAT MAKES A GOOD (FANTASY) FOOTBALL MANAGER?
Joseph O'Brien

TRANSGENDER DAY OF REMEMBRANCE HACKATHON",ASDF123,ASDF123
SatRday Newcasle,0.0,ASDF123,ASDF123,ASDF123
Shiny exam,0.5,"This was a formal exam to assess my ability to code using R Shiny. 
I was assessed by Dr. Greg Wilson and passed first time.",Having a formal qualification in the Shiny is a great achievement for me. It documents my ability to use Shiny.,"Completing this exam has enabled me to become a ""Certified RStudio Tidyverse Trainer"" 

Having this qualification will confirm to clients that:
1) I am good at *teaching* programming
2) I have a good understanding of R Shiny

This will give them confidence when hiring me to deliver training that I am skilled at what I do."
Spatial Data Learning,0.0,ASDF123,ASDF123,ASDF123
SQL murder mystery,1.0,"I decided I wanted to brush up on SQL.
I completed the SQL murder mystery","I haven't used SQL before. 
I wanted to gain basic knowledge of the commands, so I can communicate better with clients and attendees at my R training.","Many of our clients use SQL, so having a basic understanding of SQL commands can help me understand their data bases.]

Also, when teaching people how to use R, many of them know SQL, but not R. 
By understanding basic SQL, I can make comparisons between R and SQL, hopefully cementing their knowledge.

This is particularly relevant when teaching tidyr package."
Stats ambassadors covid-19 response call,0.0,a,a,a
STEM Ambassador: Careers Fair,0.5,"Careers event for Year 9-11. 
I volunteered to give a 20 minutes presentation about my career. 

","As part of delivering this talk, I had to work on my communication skills. 
I decided to present without slides, and therefore it was critical to ensure I was able to communicate the pathway that statistics can take you clearly to the students.
I also believe that it is greatly important to give back to the STEM community, and particular engaging with young STEM students. ","Better communication skills, and it's good to give back."
STEM Ambassador: Engineering Your Future x 2,1.0,"At Siemens and again a week later at MMU. 
Engineering Your Future Career Awareness Day. This is a joint engineering Institution activity in conjunction with Engineering UK, organised and funded by the Joint Institution Group (NW), with the aim of inspiring the next generation. The day aims to show the attending students a snapshot of the very broad range of exciting opportunities available in the engineering sector together with the many different routes to get there so that the students are better able to make an informed choice. The students will all be in the age range of 16 – 18 yrs. and studying STEM subjects at Greater Manchester schools and colleges, and we are expecting up to 100 in total, plus their teachers. I attended the career stall and engaged with students about the different pathways that engineering could take them.","I learnt how to build a quick and simple object detection algorithm which was useful as we are intending to build or own bespoke object detection algorithm in 2019.

I also practised my engagement skills, chatting with 16-year-olds about pursuing a career in engineering.",Being able to explain our work to non-technical users is important for engaging with clients. It's also important to show our users that we meet Corporate Social Responsible and give back to the future STEM students. 
STEM Ambassador: Florence Nightingale,0.5,"The Florence Nightingale Days are part of our continuing efforts to promote mathematics and statistics to young women in years 10 and above, who will soon be making crucial choices in their career paths. The Florence Nightingale Day will showcase successful women in mathematics at various stages of their careers, display information about the broad range of possibilities offered by a degree in mathematics or statistics, stimulate informal discussion between pupils and mathematicians and give an opportunity for participants to compare their mathematical skills with their peers in other schools via a quiz.

This year I tutored during the quiz.",Discussing the mathematical questions with the 16-17-year-olds made me think about how best to communicate mathematical principles in a simple way.,Practising communicating statistical principles with non-specialist people is excellent practice for liaising with clients.  
